round,roundNumber,game,fixtureGame,matchup,player,team,opponent,homeAway,human_vote,modelEV
Round 1,1,5,5,Sydney v Brisbane,Nick Blakey,Sydney,Brisbane,Home,1.0,0.908
Round 6,6,3,3,Sydney v Greater Western Sydney,Nick Blakey,Sydney,Greater Western Sydney,Home,3.0,2.786
Round 10,10,2,2,Sydney v Collingwood,Nick Blakey,Sydney,Collingwood,Home,2.0,1.909
Round 21,21,3,3,St Kilda v Sydney,Nick Blakey,Sydney,St Kilda,Away,1.0,0.908
Round 1,1,5,5,Sydney v Brisbane,Joel Amartey,Sydney,Brisbane,Home,0.5,0.382
Round 1,1,6,6,Collingwood v Adelaide,Wayne Milera,Adelaide,Collingwood,Away,3.0,2.789
Round 8,8,3,3,Adelaide v Port Adelaide,Wayne Milera,Adelaide,Port Adelaide,Home,2.0,1.911
Round 9,9,9,9,Richmond v Adelaide,Wayne Milera,Adelaide,Richmond,Away,1.0,0.909
Round 11,11,1,1,Hawthorn v Adelaide,Wayne Milera,Adelaide,Hawthorn,Away,0.5,0.361
Round 15,15,3,3,Adelaide v Melbourne,Wayne Milera,Adelaide,Melbourne,Home,1.0,0.909
Round 19,19,2,2,Sydney v Adelaide,Wayne Milera,Adelaide,Sydney,Away,2.0,1.911
Round 1,1,6,6,Collingwood v Adelaide,Alex Neal-Bullen,Adelaide,Collingwood,Away,1.0,0.863
Round 1,1,6,6,Collingwood v Adelaide,Josh Worrell,Adelaide,Collingwood,Away,0.5,0.382
Round 1,1,7,7,North Melbourne v Port Adelaide,Dylan Stephens,North Melbourne,Port Adelaide,Home,3.0,2.839
